,screen_names,created_at,texts_list
0,lcc2525,Tue Aug 28 00:08:29 +0000 2018,"Hey @Christi37584139, Thank you for the follow!"
1,lcc2525,Tue Aug 28 00:08:28 +0000 2018,"Hey @mikegatto, Thank you for the follow!"
2,lcc2525,Mon Aug 27 22:19:33 +0000 2018,@mayawiley Congrats! @MSNBC
3,lcc2525,Mon Aug 27 20:02:51 +0000 2018,New from Pew Research: America’s public school teachers are far less racially and ethnically diverse than their stu… https://t.co/VLFoQgIf6V
4,lcc2525,Mon Aug 27 10:49:04 +0000 2018,"Hey @ankarayazifilm, Thank you for the follow!"
5,lcc2525,Mon Aug 27 09:05:36 +0000 2018,RT @MaxBoot: As I wrote: “Trump hated McCain and insulted him at every turn because McCain was everything Trump is not — and everything tha…
6,lcc2525,Mon Aug 27 08:04:08 +0000 2018,RT @HillaryPix: On Sunday morning Hillary Clinton took to Twitter to urge people to participate in nationwide protests organized by pro-cho…
7,lcc2525,Mon Aug 27 08:02:08 +0000 2018,RT @joncoopertweets: DISGUSTING: Arizona GOP Senate candidate Kelli Ward accuses John McCain of announcing that he was dying in order to pu…
8,lcc2525,Mon Aug 27 08:00:53 +0000 2018,RT @EllaO86: @sirDukeDevin https://t.co/yirkMKTfVk
9,lcc2525,Mon Aug 27 08:00:21 +0000 2018,RT @Daybreaker77: @Greeninthemiddl @amg1335 @sirDukeDevin This is relevant here: https://t.co/sykU1Gm7zt
10,lcc2525,Mon Aug 27 07:55:54 +0000 2018,"RT @sirDukeDevin: Apparently Ted Cruz is avoiding debating Beto O'Rourke.

RT if you think Cruz seems a little intimidated."
11,lcc2525,Mon Aug 27 07:55:39 +0000 2018,"RT @DogginTrump: This soulless bitch Kelli Ward, who is running for dead hero, John McCains seat, said a few months ago that McCain should…"
12,lcc2525,Mon Aug 27 07:51:56 +0000 2018,RT @appesha: All 10 @JudiciaryDems given possibility of criminal wrongdoing by the #President doubts that Judge #Kavanaugh believes a presi…
13,lcc2525,Mon Aug 27 06:49:09 +0000 2018,"Hey @thamerhadi1, Thank you for the follow!"
14,lcc2525,Mon Aug 27 04:49:15 +0000 2018,"Hey @G2b__, Thank you for the follow!"
15,lcc2525,Mon Aug 27 04:49:15 +0000 2018,"Hey @6xxxx, Thank you for the follow!"
16,lcc2525,Mon Aug 27 04:49:14 +0000 2018,"Hey @A21_27, Thank you for the follow!"
17,lcc2525,Mon Aug 27 04:49:14 +0000 2018,"Hey @_silj, Thank you for the follow!"
18,lcc2525,Mon Aug 27 04:49:13 +0000 2018,"Hey @mtlll, Thank you for the follow!"
19,lcc2525,Mon Aug 27 04:49:13 +0000 2018,"Hey @1Rh_ma, Thank you for the follow!"
20,lcc2525,Mon Aug 27 04:49:13 +0000 2018,"Hey @1ili0_, Thank you for the follow!"
21,lcc2525,Mon Aug 27 04:49:12 +0000 2018,"Hey @1ca, Thank you for the follow!"
22,lcc2525,Mon Aug 27 04:49:12 +0000 2018,"Hey @CodyWolfeMusic, Thank you for the follow!"
23,lcc2525,Mon Aug 27 02:49:08 +0000 2018,"Hey @222W_, Thank you for the follow!"
24,lcc2525,Mon Aug 27 00:49:38 +0000 2018,"Hey @_O5N_, Thank you for the follow!"
0,CNN,Tue Aug 28 02:31:07 +0000 2018,Scientists discover a hidden deep-sea coral reef off the South Carolina coast https://t.co/wzyaTIq62n https://t.co/izER7YRsT9
1,CNN,Tue Aug 28 02:26:41 +0000 2018,RT @CuomoPrimeTime: .@ChrisCuomo on the McCain family's loss: I know the pain and the fear that they will never be able to replace who has…
2,CNN,Tue Aug 28 02:26:27 +0000 2018,"RT @CNNTonight: CNN's @DonLemon: ""We have lost a true statesman in every sense of the word with the death of John McCain"" https://t.co/lHTp…"
3,CNN,Tue Aug 28 02:19:22 +0000 2018,"By day, she's a typical teenage girl named Moza. By night, her fearless alter ego fights crime on the teeming stree… https://t.co/CbZDQtrONQ"
4,CNN,Tue Aug 28 02:16:06 +0000 2018,"""Even before Archbishop Carlo Maria Vigano called for Pope Francis to resign on Sunday, the two men had a history,… https://t.co/29qTQ9j8hI"
5,CNN,Tue Aug 28 02:08:04 +0000 2018,Two of the first 16 people to receive an experimental treatment for Ebola have recovered in the current outbreak in… https://t.co/9zRIox285E
6,CNN,Tue Aug 28 02:01:09 +0000 2018,A Texas high school senior battling brain cancer has won the fight to wear her blue-black wig after school official… https://t.co/LX9gFXdFFj
7,CNN,Tue Aug 28 01:51:04 +0000 2018,A panel of three federal judges in North Carolina ruled that the state's congressional map is an unconstitutional p… https://t.co/fCN0kqwkGC
8,CNN,Tue Aug 28 01:46:00 +0000 2018,"“We are our own roadblocks.” Brit + Co founder and CEO Brit Morin admits she didn't think she was ""smart enough or… https://t.co/771Dm1DbGp"
9,CNN,Tue Aug 28 01:41:03 +0000 2018,Amazon has hired a top cardiologist as it broadens its involvement in the health care industry… https://t.co/4PvC3lRYKW
10,CNN,Tue Aug 28 01:38:11 +0000 2018,"RT @CuomoPrimeTime: .@ChrisCuomo reads Sen. McCain’s farewell to his fellow Americans: 

“Believe always in the promise and greatness of Am…"
11,CNN,Tue Aug 28 01:36:00 +0000 2018,Markets hit record highs after news of a tentative US-Mexico trade deal. But there is no formal free trade deal bet… https://t.co/y0Fl3bJ6Kv
12,CNN,Tue Aug 28 01:31:36 +0000 2018,“You cross the bridge when you have to cross the bridge.” Mexican Economy Secretary Ildefonso Guajardo Villarreal r… https://t.co/EiMAvbnYRv
13,CNN,Tue Aug 28 01:31:07 +0000 2018,A US-Mexico trade deal could be a relief for automakers. But experts are skeptical about how many auto jobs will re… https://t.co/g5Rlfz7GWW
14,CNN,Tue Aug 28 01:29:02 +0000 2018,".@ChrisCuomo reads Sen. McCain’s farewell: 

“Believe always in the promise and greatness of America... Americans n… https://t.co/cxjnEp3fqz"
15,CNN,Tue Aug 28 01:26:17 +0000 2018,"News of a tentative US-Mexico trade deal sent markets to record highs

- The S&amp;P 500 and the Nasdaq closed at all-t… https://t.co/xJBIgfr559"
16,CNN,Tue Aug 28 01:21:15 +0000 2018,"RT @CuomoPrimeTime: CNN’s @secupp, who is friends with the McCain family, says its been a ""long and trying year"" but “the gift of time” the…"
17,CNN,Tue Aug 28 01:21:04 +0000 2018,Russia has been selling US government debt and buying gold. A lot of gold https://t.co/uS79MtnGXN https://t.co/yzyXlL2vkV
18,CNN,Tue Aug 28 01:15:11 +0000 2018,General Services Administration head Emily Murphy was silent on President Trump's role in deciding the future of th… https://t.co/FsYNJBuMjM
19,CNN,Tue Aug 28 01:10:48 +0000 2018,RT @CuomoPrimeTime: .@ChrisCuomo: “When will our President understand that the flag and the office he holds actually belong to the people a…
20,CNN,Tue Aug 28 01:10:05 +0000 2018,"John Goodman minces no words in his first public comments since ABC canceled ""Roseanne"" in a cloud of controversy,… https://t.co/bMBk7oJjgn"
21,CNN,Tue Aug 28 01:07:53 +0000 2018,RT @OutFrontCNN: Sen. John McCain was a serious man with a 'maverick' sense of humor. CNN's Jeanne Moos has more on the funny side of the l…
22,CNN,Tue Aug 28 01:07:43 +0000 2018,A Cleveland Indians All-Star sends a very powerful message with his shoes https://t.co/OeJCnm2WDT https://t.co/DKaE8GRRWj
23,CNN,Tue Aug 28 01:06:11 +0000 2018,"RT @AC360: Republican Governor @JohnKasich remembers the life of his friend Sen. John McCain: ""He liked to laugh, he had a great sense of h…"
24,CNN,Tue Aug 28 01:06:00 +0000 2018,Ohio Gov. John Kasich says he spoke with Sen. John McCain when he learned he was ill to ask him if he was “okay wit… https://t.co/mRe889ldQn
0,FoxNews,Tue Aug 28 02:30:00 +0000 2018,Jacksonville Jaguars Blake Bortles helps deliver meals to officers working mass shooting https://t.co/gpcZ2cCFpL
1,FoxNews,Tue Aug 28 02:22:00 +0000 2018,"Venus, Serena Williams make winning starts at US Open https://t.co/DUKb6dhyKf"
2,FoxNews,Tue Aug 28 02:13:57 +0000 2018,"Sen. @LindseyGrahamSC opens up on death of friend McCain, promises 'the send-off he deserves' https://t.co/n89yNzMzbt"
3,FoxNews,Tue Aug 28 02:09:15 +0000 2018,"Sen. @LindseyGrahamSC on Jeff Sessions: ""The president deserves an attorney general that he feels confident in, tha… https://t.co/8wEjdyhUfL"
4,FoxNews,Tue Aug 28 02:02:39 +0000 2018,"Live view of the sunset in Phoenix, Arizona. Mourners are gathering in the area to pay their respects to the late… https://t.co/nBa6HOEsku"
5,FoxNews,Tue Aug 28 01:58:12 +0000 2018,"Sen. @LindseyGrahamSC on the late @SenJohnMcCain: ""We're going to give him the sendoff he deserves."" #Hannity https://t.co/V1q17FdMzY"
6,FoxNews,Tue Aug 28 01:42:00 +0000 2018,"Drake fan, 11, who got surprise hospital visit from rapper learns she's getting new heart. https://t.co/Gh0u9K4aa8"
7,FoxNews,Tue Aug 28 01:35:00 +0000 2018,".@lizpeek: Mr. Trump, make a magnanimous gesture and award McCain the Medal of Honor. (via @FoxNewsOpinion) https://t.co/B0W1C5yrwL"
8,FoxNews,Tue Aug 28 01:33:56 +0000 2018,RT @FoxBusiness: .@Google aims to put military veterans back to work with new tools. https://t.co/miLr4TBOLn
9,FoxNews,Tue Aug 28 01:29:00 +0000 2018,"New York man fatally stabs teen brother while he's playing video games, officials say. https://t.co/nuKqoXMEzf"
10,FoxNews,Tue Aug 28 01:22:00 +0000 2018,Jacksonville mass shooting sparks calls for tighter eSports security. https://t.co/HrbtLMjFDE
11,FoxNews,Tue Aug 28 01:16:00 +0000 2018,Boxer Curtis Harper walks out of ring in protest after opening bell. https://t.co/SK8VTUdzVm
12,FoxNews,Tue Aug 28 01:10:00 +0000 2018,Florida authorities consider possibility of super snake emerging in Everglades. https://t.co/YCUjUT1lSK
13,FoxNews,Tue Aug 28 01:03:49 +0000 2018,Montana man's meth conviction overturned after key witness used drug before giving testimony. https://t.co/bqMwY7zdON
14,FoxNews,Tue Aug 28 00:57:42 +0000 2018,3-D printed gun ban extended by judge pending state challenge. https://t.co/vle9jbzEI6
15,FoxNews,Tue Aug 28 00:51:54 +0000 2018,.@FLOTUS was joined by descendants of past presidents Monday as she helped plant a sapling from an Eisenhower-era o… https://t.co/7jwy4Clz7V
16,FoxNews,Tue Aug 28 00:45:00 +0000 2018,Federal court again orders North Carolina congressional districts redrawn. https://t.co/rIDaC9HCRk
17,FoxNews,Tue Aug 28 00:39:43 +0000 2018,"Man, 2 kids found dead in Chicago murder-suicide, police say. https://t.co/gfI8b3PI9g"
18,FoxNews,Tue Aug 28 00:35:00 +0000 2018,Rose McGowan tells Asia Argento: 'Be the person you wish Harvey could have been' https://t.co/E8kXAbwcG2
19,FoxNews,Tue Aug 28 00:30:00 +0000 2018,"The hotel that inspired Stephen King's ""The Shining"" got a scary, very real visitor the other night.… https://t.co/jZs8rC1gzw"
20,FoxNews,Tue Aug 28 00:25:00 +0000 2018,"Tennessee mom finds hidden camera inside teddy bear child won at county fair, police say. https://t.co/2hxEqzNCAW"
21,FoxNews,Tue Aug 28 00:19:42 +0000 2018,Remembering @SenJohnMcCain #TheStory https://t.co/9vRw2WrP4o https://t.co/9sXBfNoOUC
22,FoxNews,Tue Aug 28 00:10:00 +0000 2018,"Bride cancels wedding, breaks up with fiancé after friends and family refuse to pay for $60G nuptials. https://t.co/4GlaR1sXtM"
23,FoxNews,Tue Aug 28 00:04:28 +0000 2018,".@carolmswain: ""These random shootings, I think it's evidence of a breakdown in morality in our society and people… https://t.co/N5b5c9iZuG"
24,FoxNews,Tue Aug 28 00:04:02 +0000 2018,Socialist NY Senate candidate challenged over claims of being an immigrant and Jewish. https://t.co/4SwnRAGx02
0,MSNBC,Tue Aug 28 02:30:07 +0000 2018,Republicans have reportedly been circulating a list of 18 potential areas of investigation that Democrats may launc… https://t.co/8UzaaQPd89
1,MSNBC,Tue Aug 28 02:15:06 +0000 2018,The Democratic National Committee voted Saturday to significantly curtail the power of superdelegates and make pres… https://t.co/Gbc8cdafIv
2,MSNBC,Tue Aug 28 02:00:04 +0000 2018,Hayes: Donald Trump vs. speakerphone   https://t.co/iotBPSCHyA
3,MSNBC,Tue Aug 28 01:45:01 +0000 2018,Michael Avenatti says that he has a hearing on Spetember 10th to try to depose President Trump and Michael Cohen in… https://t.co/OT4xelxB6l
4,MSNBC,Tue Aug 28 01:44:02 +0000 2018,"RT @MaddowBlog: All you have to do at a moment like this, if you can do nothing else, is just be decent and don't make it about yourself.…"
5,MSNBC,Tue Aug 28 01:30:29 +0000 2018,"""I think [Trump] is now scrambling."" 

— Barbara Res, a former employee of the Trump Organization.    https://t.co/g02rNYopz3"
6,MSNBC,Tue Aug 28 01:15:10 +0000 2018,Toxic algae seeps into Florida's politics ahead of the primary     https://t.co/8hQbn7WBdq
7,MSNBC,Tue Aug 28 01:00:05 +0000 2018,"WATCH: @NicolleDWallace and her panel disscuss the ""cracks"" in President Trump's legal foundation.   https://t.co/AWqf7LaaP7"
8,MSNBC,Tue Aug 28 00:45:06 +0000 2018,Rose McGowan called on Asia Argento to “be the person you wish Harvey could have been” in response to the sexual as… https://t.co/PixaEXagK1
9,MSNBC,Tue Aug 28 00:30:08 +0000 2018,WATCH @NicolleDWallace and her panel disscuss the bipartisan public outry over President Trump's handling of John M… https://t.co/V93OmA2zt1
10,MSNBC,Tue Aug 28 00:15:07 +0000 2018,"Secret message board drives 'pizzagate'-style harassment campaign of small businesses. 

https://t.co/Dk1KIjh7lx"
11,MSNBC,Tue Aug 28 00:00:14 +0000 2018,"Paul Manafort’s defense team sought a plea deal with prosecutors, but talks broke down as a jury convicted Manafort… https://t.co/Bsdd9arctD"
12,MSNBC,Mon Aug 27 23:46:28 +0000 2018,"Now on @MSNBC 

Watch @hardball discuss the DNC voting to reduce power and influence of superdelegates:… https://t.co/YpmnOUb7bi"
13,MSNBC,Mon Aug 27 23:45:07 +0000 2018,"Jacksonville shooter 'clearly targeted' other gamers, sheriff says 

https://t.co/d4j3m2konX"
14,MSNBC,Mon Aug 27 23:30:11 +0000 2018,Retired General David Petraeus reflects on John McCain’s legacy and his willingness to speak out against President… https://t.co/tZX8UNbuGr
15,MSNBC,Mon Aug 27 23:15:07 +0000 2018,A federal judge blocked the Trump administration from allowing the public release of blueprints for 3D-printed guns… https://t.co/immPynnLQp
16,MSNBC,Mon Aug 27 23:00:15 +0000 2018,"Sen. Reed joins MTP Daily to discuss the passing of John McCain.   

https://t.co/n2BowsImuR"
17,MSNBC,Mon Aug 27 22:36:19 +0000 2018,Will there be another big week in the Mueller investigation?    https://t.co/fOzxeLtbN4
18,MSNBC,Mon Aug 27 22:20:42 +0000 2018,https://t.co/LY2HuN5Ggi
19,MSNBC,Mon Aug 27 22:18:05 +0000 2018,Breaking now on @MSNBC https://t.co/Bo3R20GAsO
20,MSNBC,Mon Aug 27 22:00:16 +0000 2018,"Kelli Ward blames the media for ""narrative"" comments about McCain https://t.co/Ft9VDklsLC"
21,MSNBC,Mon Aug 27 21:53:54 +0000 2018,"RT @MeetThePress: WATCH: @KatyTurNBC asks ""Could we see [Mueller] indictments on October 25th, on November 3rd?""

@mattapuzzo: ""Absolutely…"
22,MSNBC,Mon Aug 27 21:30:10 +0000 2018,Secret message board drives 'pizzagate'-style harassment campaign of small businesses https://t.co/LlJZ77ZfO4
23,MSNBC,Mon Aug 27 21:15:00 +0000 2018,"Ivanka Trump: ""I want to extend my deepest sympathies to the family of Sen. John McCain, an American patriot who se… https://t.co/btHh1RPqPc"
24,MSNBC,Mon Aug 27 21:11:35 +0000 2018,"RT @MeetThePress: WATCH: Country first? @KatyTurNBC: ""We begin tonight's show with a little straight talk."" #MTPDaily https://t.co/2yw3PJDP…"
